CODICE;DESCRIZIONE;NRPEZZIIMBALLO;NOMENCLCOMBINATA1;PROVENIENZA;GRUPPO;NATURA;CATEGORIASTAT;FAMIGLIA;CONCENTRAZIONE;SPECIALITIES;ECOCERT;COSMOS;SOLUZIONI;SOLUZIONIA;SOLUZIONIB;SOLUZIONIC;GRUPPOCRM;GRUPPOVTE;CATEGORIASTATCRM;CATEGORIASTATVTE
11019;STEARIC ACID AC 68/50 V;25.000000;;ACQUISTO;RIVENDITA;MP MATERIE PRIME;NI NON IONICI;Acido grasso;;0;1;1;0;0;0;0;RIVENDITA;RIVENDITA;NI NON IONICI;NI NON IONICI
11040;ALCOOL C12 C14;25000.000000;38237000;ACQUISTO;MATERIE PRIME;MP MATERIE PRIME;NI NON IONICI;Alcoli;;0;0;0;0;0;0;0;RIVENDITA;RIVENDITA;NI NON IONICI;NI NON IONICI
11045;ALCOL C12 C14 2OE;25000.000000;34021300;ACQUISTO;RIVENDITA;MP MATERIE PRIME;NI NON IONICI;Alcoli;;0;0;0;0;0;0;0;RIVENDITA;RIVENDITA;NI NON IONICI;NI NON IONICI
11159;ALCOOL C12 C14 3 OE;.000000;38249092;ACQUISTO;MATERIE PRIME;MP MATERIE PRIME;NI NON IONICI;Alcoli;;0;0;0;0;0;0;0;RIVENDITA;RIVENDITA;NI NON IONICI;NI NON IONICI
11251;FENOSSIETANOLO;1100.000000;;ACQUISTO;RIVENDITA;RIVENDITA PURA;OCCASIONALI;Varie;;0;0;0;0;0;0;0;RIVENDITA;RIVENDITA;OCCASIONALI;OCCASIONALI
11277;ZUSOLAT 1007;25000.000000;34021300;ACQUISTO;MATERIE PRIME;MP MATERIE PRIME;NI NON IONICI;Alcoli;;0;0;0;0;0;0;0;RIVENDITA;RIVENDITA;NI NON IONICI;NI NON IONICI
11272;ALCOOL C12 C13 3 OE/SINT.;23000.000000;;ACQUISTO;RIVENDITA;MP MATERIE PRIME;NI NON IONICI;Alcoli;;0;0;0;0;0;0;0;RIVENDITA;RIVENDITA;NI NON IONICI;NI NON IONICI
11299;OPACIFIER 621;.000000;39039090;ACQUISTO;RIVENDITA;MP MATERIE PRIME;MI MISCELE;Opacizzante;;0;0;0;0;0;0;0;RIVENDITA;RIVENDITA;MI MISCELE;MI MISCELE
11255;GLICERINA F.U.;.000000;29054500;ACQUISTO;MATERIE PRIME;MP MATERIE PRIME;NI NON IONICI;Alcoli;;0;0;0;0;0;0;0;RIVENDITA;RIVENDITA;NI NON IONICI;NI NON IONICI
11082;AMPHOGLICINATE SOL. 50 - NON UTILIZZARE;.000000;34021900;ACQUISTO;RIVENDITA;MP MATERIE PRIME;AF ANFOTERI;Anfoacetati;;0;1;1;0;0;0;0;RIVENDITA;RIVENDITA;AF ANFOTERI;AF ANFOTERI
