CODCLIFOR;RAGIONESOCIALE;CODAGENTE1;AGENTE;DOCUMENTO;TIPODOCUMENTO;NUMRIFDOC;DATARIFDOC;ARTICOLO;DESCRIZIONE;IMBALLO;QUANTITA;UMGEST;PREZZOUNITLORDOEURO;SCONTIESTESI;IVA;PREZZOUNITNETTOEURO;DATACONSEGNA;TOTLORDORIGAEURO;TOTNETTORIGAEURO;ESERCIZIO;TIPODOC;NUMERODOC;BIS;DATADOC;ANNOTAZIONI;INCOTERM;DESCRIZIONEPAGAMENTO;DATASCADENZA;IMPORTOSCEURO;DESTINAZIONE;IDOBJECT;IDTESTA;IDRIGA;EXPORTCRM;IDTESTARP;IDRIGARP
C  2555;BELPHARM-CSKL LLC;;NULL;DCG/2016/1;DDT Campionatura Cliente;1;2016-01-15 00:00:00.000;20031#000XXX;ZETESOL LA/370;NULL;.500;KG;.000000;;NON IMP.ART.8 LETT.A-B-C;.000000;2015-12-16 00:00:00.000;.0000;.0000;2016;DCG;1;;2016-01-15 00:00:00.000;;EXW TRICERRO;RIM.DIR.30 GG DF;NULL;NULL;;67415;405544;2;1;403832;1
C  2555;BELPHARM-CSKL LLC;;NULL;DCG/2016/1;DDT Campionatura Cliente;1;2016-01-15 00:00:00.000;20355#104XXX;SULFETAL LA/D;NULL;.500;KG;.000000;;NON IMP.ART.8 LETT.A-B-C;.000000;2015-12-16 00:00:00.000;.0000;.0000;2016;DCG;1;;2016-01-15 00:00:00.000;;EXW TRICERRO;RIM.DIR.30 GG DF;NULL;NULL;;67415;405544;3;1;403832;2
C  1225;D.P.C. SPA;;NULL;DCG/2016/2;DDT Campionatura Cliente;2;2016-01-18 00:00:00.000;20496#000XXX;ZETESOL LES 3/SL;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-01-15 00:00:00.000;.0000;.0000;2016;DCG;2;;2016-01-18 00:00:00.000;;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;D.P.C. s.p.a. VIA BRESCIA, 11-13 ROBECCHETTO CON INDUNO MI;67442;405583;2;1;405559;1
C  1010;PIERRE FABRE DERMO-COSMETIQUE;A    16;ZSCHIMMER & SCHWARZ - FRANCE;DCG/2016/3;DDT Campionatura Cliente;3;2016-01-20 00:00:00.000;20236#243XXX;PROTELAN MGL - E;NULL;75.000;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2016-01-19 00:00:00.000;18.7500;18.7500;2016;DCG;3;;2016-01-20 00:00:00.000;;DAP;RIM.DIR.60 GG DF FM;NULL;NULL;PIERRE FABRE DERMO COSMETIQUE USINE DE SOUAL ROUTE DE CAMBOUNET /SOR SOUAL - FRANCE;67762;406024;2;1;405863;1
C  2693;LLC " RUSSO CHEMIE DNIPRO";;NULL;DCG/2016/4;DDT Campionatura Cliente;4;2016-01-20 00:00:00.000;20194#272XXX;FLEROGUM K/38;NULL;.250;KG;1.000000;;NON IMP.ART.8 LETT.A-B-C;1.000000;2016-01-14 00:00:00.000;.2500;.2500;2016;DCG;4;;2016-01-20 00:00:00.000;;EXW TRICERRO;50% ANTICIPATO - 50% RD 30 GG DF;NULL;NULL;;67782;406044;2;1;405312;1
C  2465;IMCD TIC. PAZ. VE DAN. LTD. STI;;NULL;DCG/2016/5;DDT Campionatura Cliente;5;2016-01-25 00:00:00.000;20553#000XXX;ZETESOL 270/N;NULL;2.000;KG;.450000;;NON IMP.ART.8 LETT.A-B-C;.450000;2016-01-22 00:00:00.000;.9000;.9000;2016;DCG;5;;2016-01-25 00:00:00.000;;EXW TRICERRO;VISTA FATTURA;NULL;NULL;;68079;406404;2;1;406140;1
C  1709;CASA KIRIKO S.L.;A    61;ZSCHIMMER & SCHWARZ SPAGNA S.A.;DCG/2016/6;DDT Campionatura Cliente;6;2016-01-26 00:00:00.000;20060#000XXX;AMPHOTENSID DMOX;NULL;.500;KG;.000000;;NON IMP.ART.41 DL 331/93;.000000;2016-01-25 00:00:00.000;.0000;.0000;2016;DCG;6;;2016-01-26 00:00:00.000;;DAP CIUDAD REAL;RIM.DIR.90 GG DF;NULL;NULL;;68319;406655;2;1;406625;1
C  1709;CASA KIRIKO S.L.;A    61;ZSCHIMMER & SCHWARZ SPAGNA S.A.;DCG/2016/6;DDT Campionatura Cliente;6;2016-01-26 00:00:00.000;20278#095XXX;LUMOROL FMO;NULL;.500;KG;.000000;;NON IMP.ART.41 DL 331/93;.000000;2016-01-25 00:00:00.000;.0000;.0000;2016;DCG;6;;2016-01-26 00:00:00.000;;DAP CIUDAD REAL;RIM.DIR.90 GG DF;NULL;NULL;;68319;406655;3;1;406625;2
C  1709;CASA KIRIKO S.L.;A    61;ZSCHIMMER & SCHWARZ SPAGNA S.A.;DCG/2016/6;DDT Campionatura Cliente;6;2016-01-26 00:00:00.000;20274#000XXX;LUMOROL HSC;NULL;.500;KG;.000000;;NON IMP.ART.41 DL 331/93;.000000;2016-01-25 00:00:00.000;.0000;.0000;2016;DCG;6;;2016-01-26 00:00:00.000;;DAP CIUDAD REAL;RIM.DIR.90 GG DF;NULL;NULL;;68319;406655;4;1;406625;3
C  2465;IMCD TIC. PAZ. VE DAN. LTD. STI;;NULL;DCG/2016/7;DDT Campionatura Cliente;7;2016-01-26 00:00:00.000;20021#000XXX;AMPHOTENSID B4/C;NULL;.500;KG;.450000;;NON IMP.ART.8 LETT.A-B-C;.450000;2016-01-25 00:00:00.000;.2300;.2300;2016;DCG;7;;2016-01-26 00:00:00.000;;EXW TRICERRO;VISTA FATTURA;NULL;NULL;;68320;406656;2;1;406443;1
