CODCLIFOR;RAGIONESOCIALE;CODAGENTE1;AGENTE;DOCUMENTO;TIPODOCUMENTO;NUMRIFDOC;DATARIFDOC;ESERCIZIO;TIPODOC;NUMERODOC;BIS;DATADOC;INCOTERM;DESCRIZIONEPAGAMENTO;DATASCADENZA;IMPORTOSCEURO;DESTINAZIONE;IDOBJECT;EXPORTCRM
C  1779; S.G.C. SRL;;NULL;DCG/2016/1270;DDT Campionatura Cliente;1270;2016-12-15 00:00:00.000;2016;DCG;1270;;2016-12-15 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;S.G.C. SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;0;441615
C  1779; S.G.C. SRL;;NULL;DCG/2016/37;DDT Campionatura Cliente;37;2016-02-17 00:00:00.000;2016;DCG;37;;2016-02-17 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;SAPONIFICIO GIANASSO SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;72298;409313
C  1779; S.G.C. SRL;;NULL;DCG/2016/964;DDT Campionatura Cliente;964;2016-10-27 00:00:00.000;2016;DCG;964;;2016-10-27 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;S.G.C. SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;110268;436019
C  1779; S.G.C. SRL;;NULL;DCG/2016/965;DDT Campionatura Cliente;965;2016-10-27 00:00:00.000;2016;DCG;965;;2016-10-27 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;SAPONIFICIO GIANASSO SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;110269;436021
C  1779; S.G.C. SRL;;NULL;DCG/2017/463;DDT Campionatura Cliente;463;2017-06-07 00:00:00.000;2017;DCG;463;;2017-06-07 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;S.G.C. SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;145304;459889
C   300;A.C.E.F. SPA AZIENDA CHIMICA FARMACEUTICA;;NULL;DCG/2016/487;DDT Campionatura Cliente;487;2016-05-11 00:00:00.000;2016;DCG;487;;2016-05-11 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM;NULL;NULL;;85353;418669
C   300;A.C.E.F. SPA AZIENDA CHIMICA FARMACEUTICA;;NULL;DCG/2016/641;DDT Campionatura Cliente;641;2016-06-20 00:00:00.000;2016;DCG;641;;2016-06-20 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM;NULL;NULL;;91742;422993
C   300;A.C.E.F. SPA AZIENDA CHIMICA FARMACEUTICA;;NULL;DCG/2017/368;DDT Campionatura Cliente;368;2017-04-14 00:00:00.000;2017;DCG;368;;2017-04-14 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM;NULL;NULL;;137390;454212
C   300;A.C.E.F. SPA AZIENDA CHIMICA FARMACEUTICA;;NULL;DCG/2017/535;DDT Campionatura Cliente;535;2017-06-08 00:00:00.000;2017;DCG;535;;2017-06-08 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM;NULL;NULL;;145549;460105
C  2786;A.G. WONDER SRL;;NULL;DCG/2016/54;DDT Campionatura Cliente;54;2016-02-17 00:00:00.000;2016;DCG;54;;2016-02-17 00:00:00.000;FRANCO DESTINO;ANTICIPATO;NULL;NULL;;NULL;409335
