CODCLIFOR;DOCUMENTO;TIPODOCUMENTO;ESERCIZIO;TIPODOC;NUMERODOC;BIS;DATADOC;DATASCADENZA;IMPORTOSCEURO;ESITO;DSCESITO;DATAPAGEFF;IDTESTA
C  1049;FTE/2017/829;Fatt. clienti estero;2017;FTE;829;;2017-05-16 00:00:00.000;2017-06-30 00:00:00.000;246.2500;0;NON EMESSO;NULL;457318
C  1958;FTE/2017/815;Fatt. clienti estero;2017;FTE;815;;2017-05-15 00:00:00.000;2017-08-13 00:00:00.000;27318.2000;0;NON EMESSO;NULL;457121
C  2651;FTE/2017/831;Fatt. clienti estero;2017;FTE;831;;2017-05-16 00:00:00.000;2017-07-15 00:00:00.000;5220.0000;2;PAGATO;2017-07-19 00:00:00.000;457359
C  2693;FTE/2017/834;Fatt. clienti estero;2017;FTE;834;;2017-05-17 00:00:00.000;2017-05-17 00:00:00.000;1034.2500;2;PAGATO;2017-05-17 00:00:00.000;457398
C  2931;FTI/2017/2101;Fatt. clienti italia;2017;FTI;2101;;2017-05-12 00:00:00.000;2017-05-12 00:00:00.000;1779.5700;2;PAGATO;2017-05-12 00:00:00.000;457437
C  2810;FTE/2017/835;Fatt. clienti estero;2017;FTE;835;;2017-05-17 00:00:00.000;2017-06-16 00:00:00.000;530.0000;2;PAGATO;2017-07-13 00:00:00.000;457443
C  2897;FTI/2017/2103;Fatt. clienti italia;2017;FTI;2103;;2017-05-12 00:00:00.000;2017-05-12 00:00:00.000;5954.9200;2;PAGATO;2017-05-22 00:00:00.000;457457
C  2162;FTE/2017/839;Fatt. clienti estero;2017;FTE;839;;2017-05-17 00:00:00.000;2017-08-15 00:00:00.000;18218.2000;0;NON EMESSO;NULL;457512
C  2840;FTE/2017/841;Fatt. clienti estero;2017;FTE;841;;2017-05-17 00:00:00.000;2017-05-17 00:00:00.000;120.0000;2;PAGATO;2017-05-17 00:00:00.000;457514
C  1562;FTE/2017/843;Fatt. clienti estero;2017;FTE;843;;2017-05-18 00:00:00.000;2017-07-17 00:00:00.000;24177.3300;2;PAGATO;2017-07-17 00:00:00.000;457517
