CODCLIFOR;RAGIONESOCIALE;CODAGENTE1;AGENTE;DOCUMENTO;TIPODOCUMENTO;NUMRIFDOC;DATARIFDOC;ESERCIZIO;TIPODOC;NUMERODOC;BIS;DATADOC;INCOTERM;DESCRIZIONEPAGAMENTO;DATASCADENZA;IMPORTOSCEURO;DESTINAZIONE;IDOBJECT;EXPORTCRM
C  1779; S.G.C. SRL;;NULL;FTI/2016/1525;Fatt. clienti italia;1525;2016-04-08 00:00:00.000;2016;FTI;1525;;2016-04-08 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;2016-09-10 00:00:00.000;263.5200;SAPONIFICIO GIANASSO SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;81047;415712
C  1779; S.G.C. SRL;;NULL;FTI/2016/1659;Fatt. clienti italia;1659;2016-04-15 00:00:00.000;2016;FTI;1659;;2016-04-15 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;2016-09-10 00:00:00.000;87.8400;SAPONIFICIO GIANASSO SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;83618;416538
C  1779; S.G.C. SRL;;NULL;FTI/2016/1766;Fatt. clienti italia;1766;2016-04-22 00:00:00.000;2016;FTI;1766;;2016-04-22 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;2016-09-10 00:00:00.000;1970.3000;SAPONIFICIO GIANASSO SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;84675;417484
C  1779; S.G.C. SRL;;NULL;FTI/2016/2006;Fatt. clienti italia;2006;2016-05-06 00:00:00.000;2016;FTI;2006;;2016-05-06 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;2016-09-10 00:00:00.000;488.0000;S.G.C. SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;86268;418806
C  1779; S.G.C. SRL;;NULL;FTI/2016/2272;Fatt. clienti italia;2272;2016-05-20 00:00:00.000;2016;FTI;2272;;2016-05-20 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;2016-09-10 00:00:00.000;658.8000;SAPONIFICIO GIANASSO SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;89845;420688
C  1779; S.G.C. SRL;;NULL;FTI/2016/2672;Fatt. clienti italia;2672;2016-06-17 00:00:00.000;2016;FTI;2672;;2016-06-17 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;2016-10-10 00:00:00.000;5838.3100;S.G.C. SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;92877;423267
C  1779; S.G.C. SRL;;NULL;FTI/2016/286;Fatt. clienti italia;286;2016-01-22 00:00:00.000;2016;FTI;286;;2016-01-22 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;2016-05-10 00:00:00.000;10731.8500;SAPONIFICIO GIANASSO SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;69455;407100
C  1779; S.G.C. SRL;;NULL;FTI/2016/2891;Fatt. clienti italia;2891;2016-06-30 00:00:00.000;2016;FTI;2891;;2016-06-30 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;2016-10-10 00:00:00.000;11346.0000;S.G.C. SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;95393;424868
C  1779; S.G.C. SRL;;NULL;FTI/2016/3023;Fatt. clienti italia;3023;2016-07-08 00:00:00.000;2016;FTI;3023;;2016-07-08 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;2016-11-10 00:00:00.000;5569.3000;S.G.C. SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;96290;425802
C  1779; S.G.C. SRL;;NULL;FTI/2016/3723;Fatt. clienti italia;3723;2016-09-09 00:00:00.000;2016;FTI;3723;;2016-09-09 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;2017-01-10 00:00:00.000;1348.1000;S.G.C. SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;105219;431090
C  1779; S.G.C. SRL;;NULL;FTI/2016/4114;Fatt. clienti italia;4114;2016-09-30 00:00:00.000;2016;FTI;4114;;2016-09-30 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;2017-01-10 00:00:00.000;800.3200;S.G.C. SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;107507;433431
C  1779; S.G.C. SRL;;NULL;FTI/2016/4224;Fatt. clienti italia;4224;2016-10-07 00:00:00.000;2016;FTI;4224;;2016-10-07 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;2017-02-10 00:00:00.000;20262.0000;S.G.C. SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;108831;434348
C  1779; S.G.C. SRL;;NULL;FTI/2016/4360;Fatt. clienti italia;4360;2016-10-14 00:00:00.000;2016;FTI;4360;;2016-10-14 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;2017-02-10 00:00:00.000;3516.6500;S.G.C. SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;111488;435043
C  1779; S.G.C. SRL;;NULL;FTI/2016/4470;Fatt. clienti italia;4470;2016-10-21 00:00:00.000;2016;FTI;4470;;2016-10-21 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;2017-02-10 00:00:00.000;1372.5000;S.G.C. SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;111678;435991
C  1779; S.G.C. SRL;;NULL;FTI/2016/4803;Fatt. clienti italia;4803;2016-11-11 00:00:00.000;2016;FTI;4803;;2016-11-11 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;2017-03-10 00:00:00.000;1695.8000;S.G.C. SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;114615;438447
