CODCLIFOR;RAGIONESOCIALE;CODAGENTE1;AGENTE;DOCUMENTO;TIPODOCUMENTO;NUMRIFDOC;DATARIFDOC;ARTICOLO;DESCRIZIONE;IMBALLO;QUANTITA;UMGEST;PREZZOUNITLORDOEURO;SCONTIESTESI;IVA;PREZZOUNITNETTOEURO;DATACONSEGNA;TOTLORDORIGAEURO;TOTNETTORIGAEURO;ESERCIZIO;TIPODOC;NUMERODOC;BIS;DATADOC;ANNOTAZIONI;INCOTERM;DESCRIZIONEPAGAMENTO;DATASCADENZA;IMPORTOSCEURO;DESTINAZIONE;IDOBJECT;IDTESTA;IDRIGA;EXPORTCRM;IDTESTARP;IDRIGARP
C  1701;ZSCHIMMER & SCHWARZ ESPANA S.A.;;NULL;OCG/2016/1;ORDINE CAMPION. GRATUITA;Email;2016-01-04 00:00:00.000;20553#000XXX;ZETESOL 270/N;NULL;.500;KG;.000000;;NON IMP.ART.41 DL 331/93;.000000;2016-01-04 00:00:00.000;.0000;.0000;2016;OCG;1;;2016-01-04 00:00:00.000;;DAP CASTELLON;RIM.DIR.120 GG DF;NULL;NULL;INQUIBA CTRA. MANCHITA, KM 0.800 GUARENA (BADAJOZ) ESPANA;66548;404512;1;1;0;0
C  1701;ZSCHIMMER & SCHWARZ ESPANA S.A.;;NULL;OCG/2016/1;ORDINE CAMPION. GRATUITA;Email;2016-01-04 00:00:00.000;20051#000XXX;AMPHOTENSID B4/CONC-I;NULL;.500;KG;.000000;;NON IMP.ART.41 DL 331/93;.000000;2016-01-04 00:00:00.000;.0000;.0000;2016;OCG;1;;2016-01-04 00:00:00.000;;DAP CASTELLON;RIM.DIR.120 GG DF;NULL;NULL;INQUIBA CTRA. MANCHITA, KM 0.800 GUARENA (BADAJOZ) ESPANA;66548;404512;2;1;0;0
C  1701;ZSCHIMMER & SCHWARZ ESPANA S.A.;;NULL;OCG/2016/1;ORDINE CAMPION. GRATUITA;Email;2016-01-04 00:00:00.000;20265#000XXX;PURTON CFD;NULL;.500;KG;.000000;;NON IMP.ART.41 DL 331/93;.000000;2016-01-04 00:00:00.000;.0000;.0000;2016;OCG;1;;2016-01-04 00:00:00.000;;DAP CASTELLON;RIM.DIR.120 GG DF;NULL;NULL;INQUIBA CTRA. MANCHITA, KM 0.800 GUARENA (BADAJOZ) ESPANA;66548;404512;3;1;0;0
C  1701;ZSCHIMMER & SCHWARZ ESPANA S.A.;;NULL;OCG/2016/1;ORDINE CAMPION. GRATUITA;Email;2016-01-04 00:00:00.000;20060#000XXX;AMPHOTENSID DMOX;NULL;.500;KG;.000000;;NON IMP.ART.41 DL 331/93;.000000;2016-01-04 00:00:00.000;.0000;.0000;2016;OCG;1;;2016-01-04 00:00:00.000;;DAP CASTELLON;RIM.DIR.120 GG DF;NULL;NULL;INQUIBA CTRA. MANCHITA, KM 0.800 GUARENA (BADAJOZ) ESPANA;66548;404512;4;1;0;0
C   362;L'ERBOLARIO SRL;;NULL;OCG/2016/2;ORDINE CAMPION. GRATUITA;E-MAIL;2016-01-04 00:00:00.000;20207#095XXX;PROTELAN LS 9011/SL;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-01-04 00:00:00.000;.0000;.0000;2016;OCG;2;;2016-01-04 00:00:00.000;;FRANCO DESTINO;RIC.BANC.120 GG DF FM;NULL;NULL;;66561;404531;1;1;0;0
C  1040;Z & S HANDEL AG;;NULL;OCG/2016/3;ORDINE CAMPION. GRATUITA;Email;2016-01-05 00:00:00.000;20194#272XXX;FLEROGUM K/38;NULL;5.000;KG;.450000;;NON IMP.ART.8 LETT.A-B-C;.450000;2016-01-05 00:00:00.000;2.2500;2.2500;2016;OCG;3;;2016-01-05 00:00:00.000;;EXW TRICERRO;RIM.DIR.90 GG DF FM;NULL;NULL;JUST INTERNATIONAL AG    RHEINECK (SVIZZERA);66574;404555;1;1;0;0
C   408;SABO FOAM SRL;;NULL;OCG/2016/4;ORDINE CAMPION. GRATUITA;E-MAIL JACOPO;2016-01-07 00:00:00.000;20517#000XXX;ZETESOL LES 2/SL;NULL;2.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-01-07 00:00:00.000;.0000;.0000;2016;OCG;4;;2016-01-07 00:00:00.000;;FRANCO DESTINO;RIC.BANC.90 GG DF FM;NULL;NULL;;66621;404608;1;1;0;0
C  2776;PLASTOFAB TECHNOLOGY SERVICES INC.;;NULL;OCG/2016/5;ORDINE CAMPION. GRATUITA;E-MAIL;2016-01-05 00:00:00.000;20385#095XXX;SULFETAL LS A PH ALTO;NULL;1.000;KG;.000000;;NON IMP.ART.8 LETT.A-B-C;.000000;2016-01-07 00:00:00.000;.0000;.0000;2016;OCG;5;;2016-01-07 00:00:00.000;;CIF JEBEL ALI;CAD (CASH AGAINST DOC);NULL;NULL;;66625;404612;1;1;0;0
C  2776;PLASTOFAB TECHNOLOGY SERVICES INC.;;NULL;OCG/2016/5;ORDINE CAMPION. GRATUITA;E-MAIL;2016-01-05 00:00:00.000;20391#243XXX;SULFETAL LS 40/T;NULL;1.000;KG;.000000;;NON IMP.ART.8 LETT.A-B-C;.000000;2016-01-07 00:00:00.000;.0000;.0000;2016;OCG;5;;2016-01-07 00:00:00.000;;CIF JEBEL ALI;CAD (CASH AGAINST DOC);NULL;NULL;;66625;404612;2;1;0;0
C  1026;ZSCHIMMER & SCHWARZ FRANCE;;NULL;OCG/2016/6;ORDINE CAMPION. GRATUITA;E-MAIL;2016-01-05 00:00:00.000;20051#000XXX;AMPHOTENSID B4/CONC-I;NULL;5.000;KG;.100000;;NON IMP.ART.41 DL 331/93;.100000;2016-01-07 00:00:00.000;.5000;.5000;2016;OCG;6;;2016-01-07 00:00:00.000;;DAP;RIM.DIR.120 GG DF FM;NULL;NULL;COMERCIAL QUIMICA MASSO 14, RUE GORGE DE LOUP -CP VAISE LYON - FRANCE;66628;404615;1;1;0;0
