CODCLIFOR;RAGIONESOCIALE;CODAGENTE1;AGENTE;DOCUMENTO;TIPODOCUMENTO;NUMRIFDOC;DATARIFDOC;ESERCIZIO;TIPODOC;NUMERODOC;BIS;DATADOC;INCOTERM;DESCRIZIONEPAGAMENTO;DATASCADENZA;IMPORTOSCEURO;DESTINAZIONE;IDOBJECT;EXPORTCRM
C  1779; S.G.C. SRL;;NULL;OCG/2016/1006;ORDINE CAMPION. GRATUITA;1006;2016-09-16 00:00:00.000;2016;OCG;1006;;2016-09-16 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;S.G.C. SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;104509;431585
C  1779; S.G.C. SRL;;NULL;OCG/2016/1235;ORDINE CAMPION. GRATUITA;1235;2016-11-15 00:00:00.000;2016;OCG;1235;;2016-11-15 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;S.G.C. SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;113498;438197
C  1779; S.G.C. SRL;;NULL;OCG/2016/909;ORDINE CAMPION. GRATUITA;909;2016-08-24 00:00:00.000;2016;OCG;909;;2016-08-24 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;S.G.C. SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;101001;428890
C  1779; S.G.C. SRL;;NULL;OCG/2016/98;ORDINE CAMPION. GRATUITA;98;2016-01-26 00:00:00.000;2016;OCG;98;;2016-01-26 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;SAPONIFICIO GIANASSO SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;68394;406731
C  1779; S.G.C. SRL;;NULL;OCG/2017/1011;ORDINE CAMPION. GRATUITA;1011;2017-09-11 00:00:00.000;2017;OCG;1011;;2017-09-11 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;S.G.C. SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;157965;469310
C  1779; S.G.C. SRL;;NULL;OCG/2017/577;ORDINE CAMPION. GRATUITA;577;2017-05-16 00:00:00.000;2017;OCG;577;;2017-05-16 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;S.G.C. SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;141462;457234
C  1779; S.G.C. SRL;;NULL;OCG/2017/736;ORDINE CAMPION. GRATUITA;736;2017-06-16 00:00:00.000;2017;OCG;736;;2017-06-16 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;S.G.C. SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;146977;461092
C   300;A.C.E.F. SPA AZIENDA CHIMICA FARMACEUTICA;;NULL;OCG/2016/371;ORDINE CAMPION. GRATUITA;E-MAIL;2016-03-18 00:00:00.000;2016;OCG;371;;2016-03-21 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM;NULL;NULL;;77737;413257
C   300;A.C.E.F. SPA AZIENDA CHIMICA FARMACEUTICA;;NULL;OCG/2016/629;ORDINE CAMPION. GRATUITA;629;2016-05-27 00:00:00.000;2016;OCG;629;;2016-05-27 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM;NULL;NULL;;88019;420532
C   300;A.C.E.F. SPA AZIENDA CHIMICA FARMACEUTICA;;NULL;OCG/2017/283;ORDINE CAMPION. GRATUITA;283;2017-03-15 00:00:00.000;2017;OCG;283;;2017-03-15 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM;NULL;NULL;;130184;450517
C   300;A.C.E.F. SPA AZIENDA CHIMICA FARMACEUTICA;;NULL;OCG/2017/460;ORDINE CAMPION. GRATUITA;460;2017-04-20 00:00:00.000;2017;OCG;460;;2017-04-20 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM;NULL;NULL;;138037;454725
C  2886;A.L.P.A. S.p.A.;;NULL;OCG/2016/1111;ORDINE CAMPION. GRATUITA;E-MAIL;2016-10-13 00:00:00.000;2016;OCG;1111;;2016-10-13 00:00:00.000;FRANCO DESTINO;NULL;NULL;NULL;;108214;434423
C  2886;A.L.P.A. S.p.A.;;NULL;OCG/2016/1186;ORDINE CAMPION. GRATUITA;1186;2016-11-03 00:00:00.000;2016;OCG;1186;;2016-11-03 00:00:00.000;FRANCO DESTINO;NULL;NULL;NULL;;111216;436706
C  2886;A.L.P.A. S.p.A.;;NULL;OCG/2017/414;ORDINE CAMPION. GRATUITA;E-MAIL;2017-04-12 00:00:00.000;2017;OCG;414;;2017-04-13 00:00:00.000;FRANCO DESTINO;RIC.BANC.60 GG DF FM;NULL;NULL;;136901;453830
